nombre,tipo,sitio_web,logo_fuente,notas
Tumba 7,label,https://tumba7tapes.bandcamp.com/,https://tumba7tapes.bandcamp.com/,"'Tumba 7 Tapes' — Oaxaca, MX"
Ruido,label,,,genérico — no encontrado — llénalo tú
Resonancias,label,,,genérico — no encontrado — llénalo tú
Brutal MX,venue,https://www.instagram.com/brutal__mx,https://www.instagram.com/brutal__mx,"club techno CDMX (equipo de Pervert)"
memoria local,colectivo,,,no encontrado — llénalo tú
Caliente_mex,colectivo,https://www.instagram.com/caliente_mex,https://www.instagram.com/caliente_mex,probable IG (sin verificar) — confirma
abditorymexico,colectivo,https://www.instagram.com/abditorymexico,https://www.instagram.com/abditorymexico,probable IG (sin verificar) — confirma
Loose Blues,venue,https://www.looseblues.mx/,https://www.instagram.com/loose_blues,tienda+restaurante+vinilos/DJs CDMX (Juárez)
Maad Store,dealer,https://www.instagram.com/maadstoremx,https://www.instagram.com/maadstoremx,tienda skate+vinilo Roma CDMX
Revancha,dealer,https://revanchadf.com/,https://www.instagram.com/revancha_df,tienda de discos Roma CDMX
sin.ap.sis,colectivo,https://www.instagram.com/sin.ap.sis,https://www.instagram.com/sin.ap.sis,probable IG (sin verificar) — confirma
Winona,venue,https://www.instagram.com/winona_por_siempre,https://www.instagram.com/winona_por_siempre,listening bar Coyoacán CDMX ('Winona Por Siempre')
Sonidero Sabotaje,colectivo,,,"posible 'Sabotaje Media / Sonido Sabotaje' (cumbia, J. Balleza) — confirma"
Encarta 97,mix-series,,,sin link aún — llénalo tú
Maquina Simple Ediciones,medios,https://www.instagram.com/maquinasimpleediciones,https://www.instagram.com/maquinasimpleediciones,
Vaneechi,medios,https://www.instagram.com/vaneechi,https://www.instagram.com/vaneechi,
Las Clementinas,venue,https://www.instagram.com/lasclementinas,https://www.instagram.com/lasclementinas,teatro/foro CDMX
Disco Esencia,colectivo,,,no encontrado — llénalo tú (lo dejé al final como pediste)
